state_code,lang_code,state
1,en,Andhra Pradesh
2,en,Arunachal Pradesh
3,en,Assam
4,en,Bihar
5,en,Chhattisgarh
6,en,Goa
7,en,Gujarat
8,en,Haryana
9,en,Himachal Pradesh
10,en,Jammu and Kashmir
11,en,Jharkhand
12,en,Karnataka
13,en,Kerala
14,en,Madhya Pradesh
15,en,Maharashtra
16,en,Manipur
17,en,Meghalaya
18,en,Mizoram
19,en,Nagaland
20,en,Orissa
21,en,Punjab
22,en,Rajasthan
23,en,Sikkim
24,en,Tamil Nadu
25,en,Tripura
26,en,Uttarakhand
27,en,Uttar Pradesh
28,en,West Bengal
29,en,Chandigarh
30,en,Dadra and Nagar Haveli
31,en,Daman and Diu
32,en,Delhi
33,en,Pondicherry
